Date,Location,Crime_Type,Incidents_Reported
2015-01-03,City Center,Assault,6
2015-01-03,City Center,Burglary,3
2015-01-03,City Center,Vandalism,8
2015-01-03,City Center,Fraud,3
2015-01-03,City Center,Drug Offense,8
2015-01-03,Industrial Zone,Theft,4
2015-01-03,Industrial Zone,Assault,4
2015-01-03,Industrial Zone,Burglary,2
2015-01-03,Industrial Zone,Vandalism,4
2015-01-03,Industrial Zone,Fraud,3
2015-01-03,Industrial Zone,Drug Offense,1
2015-01-04,Downtown,Theft,0
2015-01-04,Downtown,Assault,4
2015-01-04,Downtown,Burglary,3
2015-01-04,Downtown,Vandalism,3
2015-01-04,Downtown,Fraud,3
2015-01-04,Downtown,Drug Offense,5
2015-01-04,Suburb,Theft,0
2015-01-04,Suburb,Assault,2
2015-01-04,Suburb,Burglary,5
2015-01-04,Suburb,Vandalism,5
2015-01-04,Suburb,Fraud,5
2015-01-04,Suburb,Drug Offense,6
2015-01-04,Rural Area,Theft,5
2015-01-04,Rural Area,Assault,3
2015-01-04,Rural Area,Burglary,5
2015-01-04,Rural Area,Vandalism,4
2015-01-04,Rural Area,Fraud,5
2015-01-04,Rural Area,Drug Offense,3
2015-01-04,City Center,Theft,7
2015-01-04,City Center,Assault,7
2015-01-04,City Center,Burglary,3
2015-01-04,City Center,Vandalism,2
2015-01-04,City Center,Fraud,8
2015-01-04,City Center,Drug Offense,4
2015-01-04,Industrial Zone,Theft,6
2015-01-04,Industrial Zone,Assault,2
2015-01-04,Industrial Zone,Burglary,8
2015-01-04,Industrial Zone,Vandalism,3
2015-01-04,Industrial Zone,Fraud,3
2015-01-04,Industrial Zone,Drug Offense,3
2015-01-05,Downtown,Theft,8
2015-01-05,Downtown,Assault,6
2015-01-05,Downtown,Burglary,9
2015-01-05,Downtown,Vandalism,6
2015-01-05,Downtown,Fraud,7
2015-01-05,Downtown,Drug Offense,3
2015-01-05,Suburb,Theft,7
2015-01-05,Suburb,Assault,0
2015-01-05,Suburb,Burglary,4
2015-01-05,Suburb,Vandalism,3
2015-01-05,Suburb,Fraud,2
2015-01-05,Suburb,Drug Offense,3
2015-01-05,Rural Area,Theft,10
2015-01-05,Rural Area,Assault,2
2015-01-05,Rural Area,Burglary,6
2015-01-05,Rural Area,Vandalism,6
2015-01-05,Rural Area,Fraud,5
2015-01-05,Rural Area,Drug Offense,6
2015-01-05,City Center,Theft,7
2015-01-05,City Center,Assault,4
2015-01-05,City Center,Burglary,2
2015-01-05,City Center,Vandalism,2
2015-01-05,City Center,Fraud,4
2015-01-05,City Center,Drug Offense,8
2015-01-05,Industrial Zone,Theft,8
2015-01-05,Industrial Zone,Assault,5
2015-01-05,Industrial Zone,Burglary,4
2015-01-05,Industrial Zone,Vandalism,6
2015-01-05,Industrial Zone,Fraud,5
2015-01-05,Industrial Zone,Drug Offense,6
2015-01-06,Downtown,Theft,5
2015-01-06,Downtown,Assault,9
2015-01-06,Downtown,Burglary,4
2015-01-06,Downtown,Vandalism,5
2015-01-06,Downtown,Fraud,0
2015-01-06,Downtown,Drug Offense,4
2015-01-06,Suburb,Theft,1
2015-01-06,Suburb,Assault,5
2015-01-06,Suburb,Burglary,7
2015-01-06,Suburb,Vandalism,6
2015-01-06,Suburb,Fraud,6
2015-01-06,Suburb,Drug Offense,2
2015-01-06,Rural Area,Theft,2
2015-01-06,Rural Area,Assault,11
2015-01-06,Rural Area,Burglary,6
2015-01-06,Rural Area,Vandalism,5
2015-01-06,Rural Area,Fraud,3
2015-01-06,Rural Area,Drug Offense,6
2015-01-06,City Center,Theft,5
2015-01-06,City Center,Assault,4
2015-01-06,City Center,Burglary,3
2015-01-06,City Center,Vandalism,6
2015-01-06,City Center,Fraud,6
2015-01-06,City Center,Drug Offense,2
2015-01-06,Industrial Zone,Theft,2
2015-01-06,Industrial Zone,Assault,8
2015-01-06,Industrial Zone,Burglary,8
2015-01-06,Industrial Zone,Vandalism,6
2015-01-06,Industrial Zone,Fraud,3
2015-01-06,Industrial Zone,Drug Offense,1
2015-01-07,Downtown,Theft,7
2015-01-07,Downtown,Assault,5
2015-01-07,Downtown,Burglary,5
2015-01-07,Downtown,Vandalism,7
2015-01-07,Downtown,Fraud,5
2015-01-07,Downtown,Drug Offense,3
2015-01-07,Suburb,Theft,3
2015-01-07,Suburb,Assault,4
2015-01-07,Suburb,Burglary,8
2015-01-07,Suburb,Vandalism,7
2015-01-07,Suburb,Fraud,8
2015-01-07,Suburb,Drug Offense,3
2015-01-07,Rural Area,Theft,4
2015-01-07,Rural Area,Assault,2
2015-01-07,Rural Area,Burglary,7
2015-01-07,Rural Area,Vandalism,6
2015-01-07,Rural Area,Fraud,8
2015-01-07,Rural Area,Drug Offense,6
2015-01-07,City Center,Theft,5
2015-01-07,City Center,Assault,5
2015-01-07,City Center,Burglary,4
2015-01-07,City Center,Vandalism,6
2015-01-07,City Center,Fraud,8
2015-01-07,City Center,Drug Offense,2
2015-01-07,Industrial Zone,Theft,3
2015-01-07,Industrial Zone,Assault,4
2015-01-07,Industrial Zone,Burglary,5
2015-01-07,Industrial Zone,Vandalism,3
2015-01-07,Industrial Zone,Fraud,5
2015-01-07,Industrial Zone,Drug Offense,2
2015-01-08,Downtown,Theft,6
2015-01-08,Downtown,Assault,3
2015-01-08,Downtown,Burglary,4
2015-01-08,Downtown,Vandalism,3
2015-01-08,Downtown,Fraud,5
2015-01-08,Downtown,Drug Offense,5
2015-01-08,Suburb,Theft,3
2015-01-08,Suburb,Assault,2
2015-01-08,Suburb,Burglary,8
2015-01-08,Suburb,Vandalism,4
2015-01-08,Suburb,Fraud,6
2015-01-08,Suburb,Drug Offense,5
2015-01-08,Rural Area,Theft,7
2015-01-08,Rural Area,Assault,6
2015-01-08,Rural Area,Burglary,4
2015-01-08,Rural Area,Vandalism,3
2015-01-08,Rural Area,Fraud,3
2015-01-08,Rural Area,Drug Offense,4
2015-01-08,City Center,Theft,3
2015-01-08,City Center,Assault,7
2015-01-08,City Center,Burglary,5
2015-01-08,City Center,Vandalism,4
2015-01-08,City Center,Fraud,3
2015-01-08,City Center,Drug Offense,6
2015-01-08,Industrial Zone,Theft,0
2015-01-08,Industrial Zone,Assault,2
2015-01-08,Industrial Zone,Burglary,5
2015-01-08,Industrial Zone,Vandalism,5
2015-01-08,Industrial Zone,Fraud,3
2015-01-08,Industrial Zone,Drug Offense,3
2015-01-09,Downtown,Theft,7
2015-01-09,Downtown,Assault,9
2015-01-09,Downtown,Burglary,6
2015-01-09,Downtown,Vandalism,4
2015-01-09,Downtown,Fraud,4
2015-01-09,Downtown,Drug Offense,5
2015-01-09,Suburb,Theft,5
2015-01-09,Suburb,Assault,8
2015-01-09,Suburb,Burglary,4
2015-01-09,Suburb,Vandalism,6
2015-01-09,Suburb,Fraud,3
2015-01-09,Suburb,Drug Offense,4
2015-01-09,Rural Area,Theft,5
2015-01-09,Rural Area,Assault,8
2015-01-09,Rural Area,Burglary,3
2015-01-09,Rural Area,Vandalism,4
2015-01-09,Rural Area,Fraud,4
2015-01-09,Rural Area,Drug Offense,0
2015-01-09,City Center,Theft,3
2015-01-09,City Center,Assault,2
2015-01-09,City Center,Burglary,9
2015-01-09,City Center,Vandalism,5
2015-01-09,City Center,Fraud,5
2015-01-09,City Center,Drug Offense,1
2015-01-09,Industrial Zone,Theft,3
2015-01-09,Industrial Zone,Assault,2
2015-01-09,Industrial Zone,Burglary,6
2015-01-09,Industrial Zone,Vandalism,4
2015-01-09,Industrial Zone,Fraud,5
2015-01-09,Industrial Zone,Drug Offense,4
2015-01-10,Downtown,Theft,7
2015-01-10,Downtown,Assault,5
2015-01-10,Downtown,Burglary,6
2015-01-10,Downtown,Vandalism,2
2015-01-10,Downtown,Fraud,6
2015-01-10,Downtown,Drug Offense,5
2015-01-10,Suburb,Theft,5
2015-01-10,Suburb,Assault,4
2015-01-10,Suburb,Burglary,6
2015-01-10,Suburb,Vandalism,5
2015-01-10,Suburb,Fraud,4
2015-01-10,Suburb,Drug Offense,6
2015-01-10,Rural Area,Theft,6
2015-01-10,Rural Area,Assault,4
2015-01-10,Rural Area,Burglary,1
2015-01-10,Rural Area,Vandalism,6
2015-01-10,Rural Area,Fraud,1
2015-01-10,Rural Area,Drug Offense,2
2015-01-10,City Center,Theft,6
2015-01-10,City Center,Assault,3
2015-01-10,City Center,Burglary,2
2015-01-10,City Center,Vandalism,3
2015-01-10,City Center,Fraud,5
2015-01-10,City Center,Drug Offense,4
2015-01-10,Industrial Zone,Theft,5
2015-01-10,Industrial Zone,Assault,1
2015-01-10,Industrial Zone,Burglary,5
2015-01-10,Industrial Zone,Vandalism,3
2015-01-10,Industrial Zone,Fraud,5
2015-01-10,Industrial Zone,Drug Offense,5
2015-01-11,Downtown,Theft,5
2015-01-11,Downtown,Assault,5
2015-01-11,Downtown,Burglary,6
2015-01-11,Downtown,Vandalism,2
2015-01-11,Downtown,Fraud,5
2015-01-11,Downtown,Drug Offense,6
2015-01-11,Suburb,Theft,4
2015-01-11,Suburb,Assault,6
2015-01-11,Suburb,Burglary,6
2015-01-11,Suburb,Vandalism,1
2015-01-11,Suburb,Fraud,3
2015-01-11,Suburb,Drug Offense,5
2015-01-11,Rural Area,Theft,3
2015-01-11,Rural Area,Assault,3
2015-01-11,Rural Area,Burglary,4
2015-01-11,Rural Area,Vandalism,6
2015-01-11,Rural Area,Fraud,4
2015-01-11,Rural Area,Drug Offense,3
2015-01-11,City Center,Theft,2
2015-01-11,City Center,Assault,1
2015-01-11,City Center,Burglary,10
2015-01-11,City Center,Vandalism,5
2015-01-11,City Center,Fraud,2
2015-01-11,City Center,Drug Offense,4
2015-01-11,Industrial Zone,Theft,5
2015-01-11,Industrial Zone,Assault,2
2015-01-11,Industrial Zone,Burglary,6
2015-01-11,Industrial Zone,Vandalism,3
2015-01-11,Industrial Zone,Fraud,7
2015-01-11,Industrial Zone,Drug Offense,5
2015-01-12,Downtown,Theft,2
2015-01-12,Downtown,Assault,1
2015-01-12,Downtown,Burglary,6
2015-01-12,Downtown,Vandalism,2
2015-01-12,Downtown,Fraud,4
2015-01-12,Downtown,Drug Offense,2
2015-01-12,Suburb,Theft,5
2015-01-12,Suburb,Assault,7
2015-01-12,Suburb,Burglary,7
2015-01-12,Suburb,Vandalism,2
2015-01-12,Suburb,Fraud,6
2015-01-12,Suburb,Drug Offense,8
2015-01-12,Rural Area,Theft,7
2015-01-12,Rural Area,Assault,5
2015-01-12,Rural Area,Burglary,4
2015-01-12,Rural Area,Vandalism,5
2015-01-12,Rural Area,Fraud,7
2015-01-12,Rural Area,Drug Offense,6
2015-01-12,City Center,Theft,3
2015-01-12,City Center,Assault,7
2015-01-12,City Center,Burglary,6
2015-01-12,City Center,Vandalism,5
2015-01-12,City Center,Fraud,5
2015-01-12,City Center,Drug Offense,7
2015-01-12,Industrial Zone,Theft,5
2015-01-12,Industrial Zone,Assault,6
2015-01-12,Industrial Zone,Burglary,4
2015-01-12,Industrial Zone,Vandalism,7
2015-01-12,Industrial Zone,Fraud,4
2015-01-12,Industrial Zone,Drug Offense,6
2015-01-13,Downtown,Theft,4
2015-01-13,Downtown,Assault,5
2015-01-13,Downtown,Burglary,4
2015-01-13,Downtown,Vandalism,5
2015-01-13,Downtown,Fraud,4
2015-01-13,Downtown,Drug Offense,6
2015-01-13,Suburb,Theft,3
2015-01-13,Suburb,Assault,2
2015-01-13,Suburb,Burglary,7
2015-01-13,Suburb,Vandalism,5
2015-01-13,Suburb,Fraud,3
2015-01-13,Suburb,Drug Offense,4
2015-01-13,Rural Area,Theft,8
2015-01-13,Rural Area,Assault,6
2015-01-13,Rural Area,Burglary,6
2015-01-13,Rural Area,Vandalism,0
2015-01-13,Rural Area,Fraud,2
2015-01-13,Rural Area,Drug Offense,3
2015-01-13,City Center,Theft,2
2015-01-13,City Center,Assault,3
2015-01-13,City Center,Burglary,0
2015-01-13,City Center,Vandalism,3
2015-01-13,City Center,Fraud,4
2015-01-13,City Center,Drug Offense,4
2015-01-13,Industrial Zone,Theft,4
2015-01-13,Industrial Zone,Assault,5
2015-01-13,Industrial Zone,Burglary,4
2015-01-13,Industrial Zone,Vandalism,5
2015-01-13,Industrial Zone,Fraud,3
2015-01-13,Industrial Zone,Drug Offense,2
2015-01-14,Downtown,Theft,4
2015-01-14,Downtown,Assault,6
2015-01-14,Downtown,Burglary,4
2015-01-14,Downtown,Vandalism,6
2015-01-14,Downtown,Fraud,5
2015-01-14,Downtown,Drug Offense,5
2015-01-14,Suburb,Theft,3
2015-01-14,Suburb,Assault,4
2015-01-14,Suburb,Burglary,5
2015-01-14,Suburb,Vandalism,5
2015-01-14,Suburb,Fraud,7
2015-01-14,Suburb,Drug Offense,3
2015-01-14,Rural Area,Theft,2
2015-01-14,Rural Area,Assault,5
2015-01-14,Rural Area,Burglary,4
2015-01-14,Rural Area,Vandalism,6
2015-01-14,Rural Area,Fraud,6
2015-01-14,Rural Area,Drug Offense,8
2015-01-14,City Center,Theft,7
2015-01-14,City Center,Assault,3
2015-01-14,City Center,Burglary,8
2015-01-14,City Center,Vandalism,5
2015-01-14,City Center,Fraud,2
2015-01-14,City Center,Drug Offense,5
2015-01-14,Industrial Zone,Theft,7
2015-01-14,Industrial Zone,Assault,5
2015-01-14,Industrial Zone,Burglary,2
2015-01-14,Industrial Zone,Vandalism,4
2015-01-14,Industrial Zone,Fraud,2
2015-01-14,Industrial Zone,Drug Offense,1
2015-01-15,Downtown,Theft,3
2015-01-15,Downtown,Assault,6
2015-01-15,Downtown,Burglary,2
2015-01-15,Downtown,Vandalism,3
2015-01-15,Downtown,Fraud,4
2015-01-15,Downtown,Drug Offense,5
2015-01-15,Suburb,Theft,5
2015-01-15,Suburb,Assault,6
2015-01-15,Suburb,Burglary,7
2015-01-15,Suburb,Vandalism,8
2015-01-15,Suburb,Fraud,5
2015-01-15,Suburb,Drug Offense,4
2015-01-15,Rural Area,Theft,4
2015-01-15,Rural Area,Assault,6
2015-01-15,Rural Area,Burglary,5
2015-01-15,Rural Area,Vandalism,5
2015-01-15,Rural Area,Fraud,6
2015-01-15,Rural Area,Drug Offense,4
2015-01-15,City Center,Theft,3
2015-01-15,City Center,Assault,6
2015-01-15,City Center,Burglary,5
2015-01-15,City Center,Vandalism,7
2015-01-15,City Center,Fraud,2
2015-01-15,City Center,Drug Offense,7
2015-01-15,Industrial Zone,Theft,3
2015-01-15,Industrial Zone,Assault,3
2015-01-15,Industrial Zone,Burglary,5
2015-01-15,Industrial Zone,Vandalism,6
2015-01-15,Industrial Zone,Fraud,7
2015-01-15,Industrial Zone,Drug Offense,6
2015-01-16,Downtown,Theft,5
2015-01-16,Downtown,Assault,7
2015-01-16,Downtown,Burglary,7
2015-01-16,Downtown,Vandalism,4
2015-01-16,Downtown,Fraud,2
2015-01-16,Downtown,Drug Offense,4
2015-01-16,Suburb,Theft,3
2015-01-16,Suburb,Assault,3
2015-01-16,Suburb,Burglary,9
2015-01-16,Suburb,Vandalism,0
2015-01-16,Suburb,Fraud,2
2015-01-16,Suburb,Drug Offense,5
2015-01-16,Rural Area,Theft,5
2015-01-16,Rural Area,Assault,3
2015-01-16,Rural Area,Burglary,7
2015-01-16,Rural Area,Vandalism,4
2015-01-16,Rural Area,Fraud,5
2015-01-16,Rural Area,Drug Offense,2
2015-01-16,City Center,Theft,4
2015-01-16,City Center,Assault,5
2015-01-16,City Center,Burglary,4
2015-01-16,City Center,Vandalism,3
2015-01-16,City Center,Fraud,8
2015-01-16,City Center,Drug Offense,5
2015-01-16,Industrial Zone,Theft,3
2015-01-16,Industrial Zone,Assault,3
2015-01-16,Industrial Zone,Burglary,4
2015-01-16,Industrial Zone,Vandalism,1
2015-01-16,Industrial Zone,Fraud,8
2015-01-16,Industrial Zone,Drug Offense,2
2015-01-17,Downtown,Theft,2
2015-01-17,Downtown,Assault,2
2015-01-17,Downtown,Burglary,4
2015-01-17,Downtown,Vandalism,2
2015-01-17,Downtown,Fraud,1
2015-01-17,Downtown,Drug Offense,4
2015-01-17,Suburb,Theft,4
2015-01-17,Suburb,Assault,3
2015-01-17,Suburb,Burglary,5
2015-01-17,Suburb,Vandalism,3
2015-01-17,Suburb,Fraud,6
2015-01-17,Suburb,Drug Offense,3
2015-01-17,Rural Area,Theft,4
2015-01-17,Rural Area,Assault,3
2015-01-17,Rural Area,Burglary,4
2015-01-17,Rural Area,Vandalism,1
2015-01-17,Rural Area,Fraud,7
2015-01-17,Rural Area,Drug Offense,2
2015-01-17,City Center,Theft,3
2015-01-17,City Center,Assault,5
2015-01-17,City Center,Burglary,6
2015-01-17,City Center,Vandalism,7
2015-01-17,City Center,Fraud,4
2015-01-17,City Center,Drug Offense,6
2015-01-17,Industrial Zone,Theft,3
2015-01-17,Industrial Zone,Assault,4
2015-01-17,Industrial Zone,Burglary,4
2015-01-17,Industrial Zone,Vandalism,0
2015-01-17,Industrial Zone,Fraud,4
2015-01-17,Industrial Zone,Drug Offense,5
2015-01-18,Downtown,Theft,4
2015-01-18,Downtown,Assault,6
2015-01-18,Downtown,Burglary,3
2015-01-18,Downtown,Vandalism,2
2015-01-18,Downtown,Fraud,2
2015-01-18,Downtown,Drug Offense,5
2015-01-18,Suburb,Theft,4
2015-01-18,Suburb,Assault,5
2015-01-18,Suburb,Burglary,6
2015-01-18,Suburb,Vandalism,4
2015-01-18,Suburb,Fraud,7
2015-01-18,Suburb,Drug Offense,3
2015-01-18,Rural Area,Theft,4
2015-01-18,Rural Area,Assault,3
2015-01-18,Rural Area,Burglary,8
2015-01-18,Rural Area,Vandalism,7
2015-01-18,Rural Area,Fraud,2
2015-01-18,Rural Area,Drug Offense,3
2015-01-18,City Center,Theft,3
2015-01-18,City Center,Assault,3
2015-01-18,City Center,Burglary,1
2015-01-18,City Center,Vandalism,6
2015-01-18,City Center,Fraud,6
2015-01-18,City Center,Drug Offense,5
2015-01-18,Industrial Zone,Theft,0
2015-01-18,Industrial Zone,Assault,4
2015-01-18,Industrial Zone,Burglary,6
2015-01-18,Industrial Zone,Vandalism,4
2015-01-18,Industrial Zone,Fraud,5
2015-01-18,Industrial Zone,Drug Offense,6
2015-01-19,Downtown,Theft,5
2015-01-19,Downtown,Assault,6
2015-01-19,Downtown,Burglary,4
2015-01-19,Downtown,Vandalism,6
2015-01-19,Downtown,Fraud,3
2015-01-19,Downtown,Drug Offense,6
2015-01-19,Suburb,Theft,1
2015-01-19,Suburb,Assault,4
2015-01-19,Suburb,Burglary,1
2015-01-19,Suburb,Vandalism,9
2015-01-19,Suburb,Fraud,7
2015-01-19,Suburb,Drug Offense,7
2015-01-19,Rural Area,Theft,6
2015-01-19,Rural Area,Assault,2
2015-01-19,Rural Area,Burglary,3
2015-01-19,Rural Area,Vandalism,5
2015-01-19,Rural Area,Fraud,5
2015-01-19,Rural Area,Drug Offense,6
2015-01-19,City Center,Theft,7
2015-01-19,City Center,Assault,6
2015-01-19,City Center,Burglary,3
2015-01-19,City Center,Vandalism,5
2015-01-19,City Center,Fraud,1
2015-01-19,City Center,Drug Offense,3
2015-01-19,Industrial Zone,Theft,2
2015-01-19,Industrial Zone,Assault,4
2015-01-19,Industrial Zone,Burglary,4
2015-01-19,Industrial Zone,Vandalism,2
2015-01-19,Industrial Zone,Fraud,4
2015-01-19,Industrial Zone,Drug Offense,4
2015-01-20,Downtown,Theft,9
2015-01-20,Downtown,Assault,6
2015-01-20,Downtown,Burglary,9
2015-01-20,Downtown,Vandalism,7
2015-01-20,Downtown,Fraud,2
2015-01-20,Downtown,Drug Offense,4
2015-01-20,Suburb,Theft,2
2015-01-20,Suburb,Assault,5
2015-01-20,Suburb,Burglary,5
2015-01-20,Suburb,Vandalism,8
2015-01-20,Suburb,Fraud,5
2015-01-20,Suburb,Drug Offense,7
2015-01-20,Rural Area,Theft,4
2015-01-20,Rural Area,Assault,6
2015-01-20,Rural Area,Burglary,8
2015-01-20,Rural Area,Vandalism,7
2015-01-20,Rural Area,Fraud,3
2015-01-20,Rural Area,Drug Offense,6
2015-01-20,City Center,Theft,2
2015-01-20,City Center,Assault,3
2015-01-20,City Center,Burglary,2
2015-01-20,City Center,Vandalism,4
2015-01-20,City Center,Fraud,2
2015-01-20,City Center,Drug Offense,3
2015-01-20,Industrial Zone,Theft,10
2015-01-20,Industrial Zone,Assault,4
2015-01-20,Industrial Zone,Burglary,5
2015-01-20,Industrial Zone,Vandalism,6
2015-01-20,Industrial Zone,Fraud,0
2015-01-20,Industrial Zone,Drug Offense,2
2015-01-21,Downtown,Theft,3
2015-01-21,Downtown,Assault,6
2015-01-21,Downtown,Burglary,6
2015-01-21,Downtown,Vandalism,6
2015-01-21,Downtown,Fraud,6
2015-01-21,Downtown,Drug Offense,6
2015-01-21,Suburb,Theft,3
2015-01-21,Suburb,Assault,0
2015-01-21,Suburb,Burglary,5
2015-01-21,Suburb,Vandalism,5
2015-01-21,Suburb,Fraud,5
2015-01-21,Suburb,Drug Offense,3
2015-01-21,Rural Area,Theft,4
2015-01-21,Rural Area,Assault,3
2015-01-21,Rural Area,Burglary,3
2015-01-21,Rural Area,Vandalism,5
2015-01-21,Rural Area,Fraud,4
2015-01-21,Rural Area,Drug Offense,6
2015-01-21,City Center,Theft,4
2015-01-21,City Center,Assault,5
2015-01-21,City Center,Burglary,3
2015-01-21,City Center,Vandalism,3
2015-01-21,City Center,Fraud,4
2015-01-21,City Center,Drug Offense,3
2015-01-21,Industrial Zone,Theft,1
2015-01-21,Industrial Zone,Assault,3
2015-01-21,Industrial Zone,Burglary,4
2015-01-21,Industrial Zone,Vandalism,4
2015-01-21,Industrial Zone,Fraud,6
2015-01-21,Industrial Zone,Drug Offense,5
2015-01-22,Downtown,Theft,3
2015-01-22,Downtown,Assault,1
2015-01-22,Downtown,Burglary,3
2015-01-22,Downtown,Vandalism,5
2015-01-22,Downtown,Fraud,7
2015-01-22,Downtown,Drug Offense,1
2015-01-22,Suburb,Theft,1
2015-01-22,Suburb,Assault,5
2015-01-22,Suburb,Burglary,7
2015-01-22,Suburb,Vandalism,4
2015-01-22,Suburb,Fraud,1
2015-01-22,Suburb,Drug Offense,3
2015-01-22,Rural Area,Theft,5
2015-01-22,Rural Area,Assault,2
2015-01-22,Rural Area,Burglary,2
2015-01-22,Rural Area,Vandalism,3
2015-01-22,Rural Area,Fraud,5
2015-01-22,Rural Area,Drug Offense,3
2015-01-22,City Center,Theft,7
2015-01-22,City Center,Assault,7
2015-01-22,City Center,Burglary,2
2015-01-22,City Center,Vandalism,4
2015-01-22,City Center,Fraud,6
2015-01-22,City Center,Drug Offense,7
2015-01-22,Industrial Zone,Theft,7
2015-01-22,Industrial Zone,Assault,0
2015-01-22,Industrial Zone,Burglary,9
2015-01-22,Industrial Zone,Vandalism,3
2015-01-22,Industrial Zone,Fraud,3
2015-01-22,Industrial Zone,Drug Offense,6
2015-01-23,Downtown,Theft,4
2015-01-23,Downtown,Assault,7
2015-01-23,Downtown,Burglary,3
2015-01-23,Downtown,Vandalism,3
2015-01-23,Downtown,Fraud,4
2015-01-23,Downtown,Drug Offense,1
2015-01-23,Suburb,Theft,6
2015-01-23,Suburb,Assault,7
2015-01-23,Suburb,Burglary,3
2015-01-23,Suburb,Vandalism,12
2015-01-23,Suburb,Fraud,7
2015-01-23,Suburb,Drug Offense,3
2015-01-23,Rural Area,Theft,5
2015-01-23,Rural Area,Assault,2
2015-01-23,Rural Area,Burglary,6
2015-01-23,Rural Area,Vandalism,5
2015-01-23,Rural Area,Fraud,5
2015-01-23,Rural Area,Drug Offense,2
2015-01-23,City Center,Theft,5
2015-01-23,City Center,Assault,3
2015-01-23,City Center,Burglary,5
2015-01-23,City Center,Vandalism,5
2015-01-23,City Center,Fraud,2
2015-01-23,City Center,Drug Offense,6
2015-01-23,Industrial Zone,Theft,3
2015-01-23,Industrial Zone,Assault,6
2015-01-23,Industrial Zone,Burglary,4
2015-01-23,Industrial Zone,Vandalism,5
2015-01-23,Industrial Zone,Fraud,2
2015-01-23,Industrial Zone,Drug Offense,5
2015-01-24,Downtown,Theft,8
2015-01-24,Downtown,Assault,6
2015-01-24,Downtown,Burglary,7
2015-01-24,Downtown,Vandalism,7
2015-01-24,Downtown,Fraud,4
2015-01-24,Downtown,Drug Offense,3
2015-01-24,Suburb,Theft,8
2015-01-24,Suburb,Assault,6
2015-01-24,Suburb,Burglary,7
2015-01-24,Suburb,Vandalism,6
2015-01-24,Suburb,Fraud,4
2015-01-24,Suburb,Drug Offense,7
2015-01-24,Rural Area,Theft,3
2015-01-24,Rural Area,Assault,0
2015-01-24,Rural Area,Burglary,3
2015-01-24,Rural Area,Vandalism,3
